UniqueCount	AmbigCount
2	99
0	21
0	77
2	0
0	23
0	51
0	10
0	190
0	165
0	13
2	20
0	14
10	41
0	19
15	196
0	79
28	208
0	107
0	36
0	111
462	652
25	402
9	97
0	554
9478	1504
0	1009
89	2740
6	133
32	209
258	127
1	15
6	71
0	67
10	246
0	236
0	200
0	4
601	321
0	3
0	6
3	3
3	26
0	10
0	125
4	10
0	78
197	364
44	347
0	75
0	78
552	80
0	1149
0	755
0	1521
0	1182
0	730
22	518
44	678
2	1042
0	516
63	703
0	835
62	1017
102	465
13	692
0	1446
230	683
0	11
7	36
0	432
1	626
1	107
0	5
0	117
1	22
4	115
23	219
15	45
2	18
0	78
3	43
7	224
0	446
0	73
0	84
0	5
0	2
37	455
39	797
18	1430
0	20
7	245
4	12
151	528
5	175
5	14
4	361
116	5462
0	528
0	63
49	127
0	14
1	11
4	85
0	86
0	14
0	8
7	8
0	21
0	0
56	12
0	14
0	20
11	22
1	17
0	14
1	14
0	22
15	207
6	3
18	1
46	129
0	119
22	18
1	20
0	16
109	38
0	22
0	23
0	24
0	23
0	19
0	44
0	24
1	28
1	20
10	16
5	6
5	3
19	20
128	361
2	195
0	242
4	4
1	1
3	0
16	89
27	38
3	9
0	8
0	1
0	2
0	2
0	11
0	11
0	11
0	11
0	11
0	11
0	11
0	11
0	11
0	9
0	3
1	0
1	0
0	0
0	0
19	116
0	30
21	120
0	0
2	12
15	85
2	7
0	6
1	1
0	2
4	1
0	9
0	10
0	9
0	1
0	13
0	16
0	10
0	16
4	0
0	3
0	3
0	3
0	3
1	5
0	4
3	5
0	1
9	1
0	20
0	20
0	0
2	0
1	2
0	1
0	1
16	55
0	0
13	6
0	0
0	62
4	78
0	61
0	2
1	37
0	20
2	2
27	14
0	16
1	9
0	11
0	11
5	10
2	15
0	11
0	2
4	10
2	9
0	4
0	5
0	6
0	2
0	3
0	1
0	1
0	1
12	6
12	0
2	0
0	0
0	0
7	0
28	110
0	102
0	2
0	2
4	0
2	0
0	0
1	1
0	3
0	3
0	1
0	2
0	3
2	3
0	1
1	93
0	90
0	90
26	26
1	23
0	69
0	20
25	0
2	1
0	1
0	2
0	0
2	1
70	41
0	104
0	97
0	94
0	51
0	76
0	72
0	71
5	16
0	68
2	66
0	29
0	27
0	58
1	40
5	44
2	9
0	26
10	27
21	32
19	12
45	16
0	0
1	10
0	6
5	6
0	7
0	0
0	7
0	0
0	1
0	31
2	25
1	14
0	17
1	3
1	1
0	1
1	1
5	12
0	8
10	19
0	6
4	0
0	0
0	4
0	1
1	2
0	2
2	5
0	29
0	43
0	40
0	23
0	28
0	40
0	7
0	38
0	24
79	269
0	26
0	25
0	43
0	24
0	21
0	35
0	38
0	12
0	11
0	10
0	36
0	9
0	16
0	14
0	10
0	9
0	32
0	6
0	7
0	25
0	11
0	13
0	19
0	19
0	19
0	10
1	7
0	21
1	30
0	39
2	35
0	20
0	16
0	11
0	10
0	15
0	13
0	4
0	6
5	3
0	0
5	0
0	3
6	3
1	1
6	0
0	11
0	11
0	9
0	1
0	2
1	2
0	1
0	3
0	0
0	4
0	5
0	6
0	5
5	6
0	1
0	1
0	2
0	0
0	0
0	24
6	22
0	22
1	25
2	6
0	2
0	0
7	163
7	151
40	135
1	233
2	583
0	284
1	147
0	359
0	357
0	164
0	209
0	91
0	66
8	51
9	156
0	194
22	47
1	102
19	36
7	71
0	3
0	20
3	25
0	7
0	6
0	19
1	32
0	13
0	29
0	6
28	38
12	16
36	69
0	24
0	7
175	1354
0	122
1	122
0	118
0	4
0	2
0	0
1	0
2	0
0	1
0	0
0	1
2	1
0	8
9	8
0	0
125	234
0	0
0	1
4	12
63	63
1	3
48	134
12	15
2	3
0	0
0	10
0	10
0	10
1	10
0	1
2	5
0	5
0	0
0	0
3	0
6	47
35	93
2	26
332	275
75	315
1	0
3	0
15	30
0	19
0	21
0	17
0	20
5	22
0	19
0	22
17	123
0	1
0	17
0	1
0	15
0	9
0	2
0	2
0	20
0	12
0	2
0	19
0	19
0	0
1	1
0	18
0	5
2	2
0	3
0	4
0	8
0	4
2	9
0	4
0	6
0	2
2	2
1	2
1	1
0	1
0	0
0	0
0	1
1	0
2	0
11	62
0	63
0	57
0	61
0	60
2	75
0	64
0	67
0	23
0	20
7	142
0	622
0	602
10	204
43	309
30	41
5	34
0	1
0	61
0	17
0	50
0	58
0	57
0	59
0	56
0	58
0	58
0	59
15	10
0	11
0	3
0	2
0	8
0	3
0	6
0	19
2	12
3	10
3	1
15	9
6	6
179	356
1	2
36	104
5	2
0	34
2	146
35	92
0	70
0	1079
2	1080
23	1053
14	408
0	35
0	177
0	71
0	73
1	163
0	90
2	95
1	118
16	350
0	303
6	294
71	229
9	11
0	606
1	526
0	619
123	143
41	239
24	162
6	201
5	124
6	70
0	83
8	0
2	4
0	4
7	4
0	0
0	0
0	0
0	0
0	0
1	0
0	0
1	19
4	8
0	8
0	1
53	153
0	16
0	1
87	317
15	6
81	35
0	6
0	2
0	2
0	5
0	7
0	5
0	2
0	6
0	6
0	2
0	0
1	6
4	2
0	1
14	321
0	136
0	1
0	0
1	4
0	1
0	1
0	44
0	3
5	1
4	0
0	0
0	2
1	43
3	2
0	42
1	2
2	5
2	2
3	5
0	4
0	18
1	9
0	3
0	2
0	2
0	15
0	2
0	41
7	14
2	39
5	29
11	13
108	286
9	0
3	0
0	10
26	274
0	39
0	27
0	15
36	264
0	10
0	20
1	89
41	301
