UniqueCount	AmbigCount
2	123
0	9
0	104
0	0
0	41
0	73
0	11
0	174
0	127
3	18
2	49
0	35
10	69
0	22
18	193
0	65
45	177
0	71
0	16
0	117
289	299
13	153
4	26
0	225
4333	1006
0	698
31	1242
3	73
14	108
172	67
4	10
4	78
1	117
12	227
2	202
0	161
0	22
757	287
0	16
0	9
0	5
1	35
1	6
0	122
4	11
0	59
96	232
22	191
0	55
0	52
198	64
0	649
0	496
0	794
0	511
0	403
11	346
13	298
3	553
0	348
48	273
0	348
14	435
29	203
4	318
0	615
101	323
0	19
4	52
0	146
3	254
2	66
2	9
0	97
0	22
2	67
39	205
6	44
3	18
0	59
1	44
9	196
0	193
0	56
0	59
0	7
0	6
43	626
72	1156
6	1761
0	21
6	392
3	11
298	896
7	326
4	24
1	131
52	2786
0	279
1	35
39	67
2	23
5	12
3	85
0	83
0	9
0	12
7	12
0	43
3	1
38	17
0	16
0	15
11	15
1	14
0	12
1	6
1	25
15	300
3	4
23	0
16	44
0	40
20	16
5	14
0	10
136	22
0	8
0	9
0	11
0	12
0	11
0	25
0	13
1	11
0	11
9	10
2	2
4	5
15	12
118	326
2	215
0	210
5	3
1	0
2	0
22	91
26	24
7	3
0	2
0	1
2	0
0	0
0	9
0	7
0	9
0	9
1	9
0	9
0	7
0	7
0	7
0	9
0	7
0	0
0	5
0	2
0	4
19	84
1	26
29	133
4	0
1	7
13	91
3	9
0	8
1	3
0	6
2	1
0	12
2	12
0	11
0	3
0	6
2	18
2	12
0	18
8	0
0	2
0	1
0	2
0	1
0	7
0	6
1	6
4	0
22	0
0	32
0	32
0	0
8	0
1	2
0	1
2	0
20	46
0	1
10	6
0	2
2	100
5	78
0	98
3	0
0	60
0	38
2	0
47	10
2	13
0	13
0	11
0	11
8	15
1	13
0	11
0	3
3	13
9	11
0	5
0	7
0	9
0	3
0	7
0	1
0	1
0	0
37	1
26	0
0	0
1	0
1	0
5	0
26	101
0	96
1	8
0	8
7	2
2	0
0	0
1	3
0	0
0	2
2	2
0	2
0	3
5	3
0	0
2	64
0	60
0	60
10	37
0	37
0	41
0	8
21	0
1	4
0	2
0	5
0	3
9	3
89	35
0	47
0	47
0	44
0	32
0	38
0	33
0	40
4	12
0	34
0	28
0	15
0	16
0	21
0	17
3	15
2	8
0	11
2	5
6	7
10	2
18	22
4	1
0	11
0	9
6	7
0	7
0	2
0	7
0	1
0	3
0	30
9	30
1	16
0	21
0	0
3	2
0	4
0	1
4	10
0	3
14	19
0	2
5	0
0	0
0	12
0	6
3	8
0	8
7	9
0	13
0	30
0	19
0	8
0	19
0	20
0	6
0	16
0	7
70	260
1	16
0	9
0	29
0	9
0	9
0	19
0	18
0	1
0	3
1	2
0	13
0	1
0	1
0	2
0	3
0	2
0	17
0	1
0	0
0	13
0	8
0	5
0	11
0	11
0	12
0	2
0	2
0	11
1	25
0	26
5	27
0	16
0	11
0	13
0	11
0	9
0	8
0	6
0	16
10	11
0	0
3	0
0	4
1	4
5	0
19	0
0	21
0	21
0	18
1	8
0	8
0	2
1	1
2	1
0	0
0	8
0	13
0	13
0	12
3	13
0	10
0	3
1	7
0	0
0	0
0	13
2	7
0	7
0	8
0	4
0	8
1	0
10	115
5	99
24	126
0	130
4	362
0	229
1	106
0	239
0	265
0	116
0	115
0	55
0	35
13	26
5	95
0	66
